qt6-positioning 6.5.1-1
qt6-shadertools 6.5.1-1
qt6-svg 6.5.1-1
qt6-translations 6.5.1-1
qt6-wayland 6.5.1-1
qt6-webchannel 6.5.1-1
qt6-webengine 6.5.1-1
qt6-websockets 6.5.1-1
qtile 0.22.1-4
raptor 2.0.16-2
rav1e 0.6.6-1
re2 1:20230301-1
readline 8.2.001-2
rebuild-detector 4.4.2-1
reflector 2021.11-7
reflector-simple 2023-2
reiserfsprogs 3.6.27-4
rhash 1.4.3-1
ripgrep 13.0.0-3
rnnoise 0.4.1-1
rofi 1.7.5-1
rpcbind 1.2.6-3
rsync 3.2.7-4
rtkit 0.13-2
rtmpdump 1:2.4.r99.f1b83c1-2
rubberband 3.2.1-1
run-parts 5.5-1
s-nail 14.9.24-2
sbc 2.0-1
sdl2 2.26.5-2
sdl2_image 2.6.3-1
seatd 0.7.0-3
sed 4.9-3
serd 0.30.16-1
serf 1.3.9-8
sg3_utils 1.47-1
shaderc 2023.3-1
shadow 4.13-2
shared-mime-info 2.2+13+ga2ffb28-1
slang 2.3.3-2
smartmontools 7.3-1
smbclient 4.18.3-1
snappy 1.1.9-2
sof-firmware 2.2.5-1
solid 5.106.0-1
sonnet 5.106.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.2-1
spandsp 0.0.6-5
speech-dispatcher 0.11.4-2
speex 1.2.1-1
speexdsp 1.2.1-1
spirv-tools 2022.4-1
sqlite 3.42.0-1
sratom 0.6.14-1
srt 1.5.1-3
startup-notification 0.12-8
stoken 0.92-4
subversion 1.14.2-7
sudo 1.9.13.p3-1
svt-av1 1.5.0-1
svt-hevc 1.5.1-2
syndication 5.106.0-1
syntax-highlighting 5.106.0-1
sysfsutils 2.1.1-1
sysstat 12.7.2-1
systemd 253.4-1
systemd-libs 253.4-1
systemd-sysvcompat 253.4-1
taglib 1.13-1
talloc 2.4.0-3
tar 1.34-2
tcl 8.6.13-1
tdb 1.4.8-2
telegram-desktop 4.8.1-3
telegram-qt 0.1.0-6
tevent 1:0.14.1-2
texinfo 7.0.3-1
tg-archive 0.5.3-1
thin-provisioning-tools 1.0.4-1
thunar 4.18.6-1
thunar-archive-plugin 0.5.1-1
thunar-media-tags-plugin 0.4.0-1
thunar-volman 4.18.0-1
tinycompress 1.2.8-2
tldr 3.2.0-1
tor 0.4.7.13-2
torbrowser-launcher 0.3.6-2
tpm2-tss 4.0.1-1
tracker3 3.5.3-1
transmission-qt 4.0.3-1
tslib 1.22-1
ttf-bitstream-vera 1.10-15
ttf-cascadia-code 2111.01-1
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-liberation 2.1.5-1
ttf-nerd-fonts-symbols 3.0.2-1
ttf-nerd-fonts-symbols-common 3.0.2-1
ttf-opensans 1.101-2
tumbler 4.18.1-1
twolame 0.4.0-3
tzdata 2023c-2
uchardet 0.0.8-1
udisks2 2.9.4-1
unittestpp 2.0.0-4
unrar 1:6.2.8-1
unzip 6.0-19
updlockfiles 0.1.0-1
upower 1.90.0-4
usb_modeswitch 2.6.1-3
usbmuxd 1.1.1-3
usbutils 015-3
util-linux 2.39-4
util-linux-libs 2.39-4
v4l-utils 1.24.1-2
vi 1:070224-6
vice 3.7-1
vid.stab 1.1.1-1
